Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2024-10-23T04:00:00.000000+0000,165.853,167.019,163.066,163.91,12754300.0,166.242,165.225,164.478,3.953,2.79,1.908,1.614,1.943,-2.113,-1.216,-0.179,11958600.0,11384000.0,13091300.0,165.598,165.32,165.025,-0.014126455607579618,0
2024-10-24T04:00:00.000000+0000,164.019,164.478,162.206,163.959,12764400.0,163.91,166.242,165.225,2.272,3.953,2.79,1.908,0.06,1.943,-2.113,-1.216,12754300.0,11958600.0,11384000.0,164.754,164.907,164.848,0.00030399454272582823,1
2024-10-25T04:00:00.000000+0000,164.792,166.819,164.657,166.411,14566400.0,163.959,163.91,166.242,2.162,2.272,3.953,2.79,-1.619,0.06,1.943,-2.113,12764400.0,12754300.0,11958600.0,164.357,164.629,164.706,0.014840960091694229,1
2024-10-28T04:00:00.000000+0000,169.998,170.014,165.215,167.756,20858300.0,166.411,163.959,163.91,4.799,2.162,2.272,3.953,2.242,-1.619,0.06,1.943,14566400.0,12764400.0,12754300.0,165.384,165.151,164.978,0.008051832043892993,1
2024-10-29T04:00:00.000000+0000,168.798,171.264,168.075,170.547,28916100.0,167.756,166.411,163.959,3.189,4.799,2.162,2.272,-1.749,2.242,-1.619,0.06,20858300.0,14566400.0,12764400.0,166.57,165.914,165.42,0.016496238880555115,1
2024-10-30T04:00:00.000000+0000,181.777,183.153,175.136,175.529,49698300.0,170.547,167.756,166.411,8.017,3.189,4.799,2.162,6.248,-1.749,2.242,-1.619,28916100.0,20858300.0,14566400.0,168.558,167.271,166.235,0.028797223866070754,1
2024-10-31T04:00:00.000000+0000,174.114,177.801,171.962,172.091,32801900.0,175.529,170.547,167.756,5.84,8.017,3.189,4.799,2.023,6.248,-1.749,2.242,49698300.0,28916100.0,20858300.0,172.044,169.69,167.714,-0.01978103928313927,0
2024-11-01T04:00:00.000000+0000,170.945,173.217,169.719,172.051,21752900.0,172.091,175.529,170.547,3.498,5.84,8.017,3.189,-1.106,2.023,6.248,-1.749,32801900.0,49698300.0,28916100.0,172.067,170.393,168.41,-0.0002317134287234629,0
2024-11-04T05:00:00.000000+0000,170.646,171.324,168.897,170.088,16194000.0,172.051,172.091,175.529,2.427,3.498,5.84,8.017,0.558,-1.106,2.023,6.248,21752900.0,32801900.0,49698300.0,172.059,170.879,168.99,-0.011476035648285404,0
2024-11-05T05:00:00.000000+0000,170.238,171.5,169.779,170.816,12518300.0,170.088,172.051,172.091,1.721,2.427,3.498,5.84,-0.578,0.558,-1.106,2.023,16194000.0,21752900.0,32801900.0,171.074,170.647,169.165,0.004268034178250205,1
2024-11-06T05:00:00.000000+0000,174.742,178.021,174.433,177.712,27061500.0,170.816,170.088,172.051,3.588,1.721,2.427,3.498,-2.97,-0.578,0.558,-1.106,12518300.0,16194000.0,21752900.0,170.945,170.697,169.427,0.03957728876143144,1
2024-11-07T05:00:00.000000+0000,178.489,181.947,178.27,181.648,16730400.0,177.712,170.816,170.088,3.677,3.588,1.721,2.427,-3.159,-2.97,-0.578,0.558,27061500.0,12518300.0,16194000.0,174.328,172.751,170.745,0.02190824112441845,1
2024-11-08T05:00:00.000000+0000,181.369,181.718,178.947,179.236,15021500.0,181.648,177.712,170.816,2.77,3.677,3.588,1.721,2.133,-3.159,-2.97,-0.578,16730400.0,27061500.0,12518300.0,177.988,175.357,172.48,-0.013365183215135716,0
2024-11-11T05:00:00.000000+0000,179.446,181.454,179.366,181.339,12503400.0,179.236,181.648,177.712,2.088,2.77,3.677,3.588,-1.893,2.133,-3.159,-2.97,15021500.0,16730400.0,27061500.0,178.612,176.493,173.555,0.011663030673831818,1
2024-11-12T05:00:00.000000+0000,180.751,183.387,180.362,182.684,14065800.0,181.339,179.236,181.648,3.024,2.088,2.77,3.677,-1.933,-1.893,2.133,-3.159,12503400.0,15021500.0,16730400.0,179.976,177.912,174.793,0.007391438363282379,1
2024-11-13T05:00:00.000000+0000,181.518,181.982,179.495,179.864,13969700.0,182.684,181.339,179.236,2.486,3.024,2.088,2.77,1.654,-1.933,-1.893,2.133,14065800.0,12503400.0,15021500.0,181.33,179.31,176.049,-0.015557907897865353,0
